""SHLI03019,Formación Cultural e Intercultural,2,Ninguno,C1,,,12:00-14:00,,,,A309,"VAN AMERONGEN Saskia, Dra.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
"",FRANCES A1.1,4,,SA1,,08:00-10:00,,,08:00-10:00,,L.ELECT.(2),"VAN AMERONGEN Saskia, Dra.",,
"",FRANCES A2.1,4,,SA1,10:00-12:00,,,10:00-12:00,,,"LAB A","VAN AMERONGEN Saskia, Dra.",,
""IILI06066,Informática Industrial,4,"Microprocesadores y Microcontroladores",C1,16:00-18:00,,,16:00-18:00,,,A309,"MARTIN-DIAZ Ignacio, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""EALI03014,Ingeniería Económica,2,90 Créditos,M1,,,14:00-16:00,,,,A301,"DAMIAN RAMOS Enrique, M.F.","ZALETA AGUILAR Alejandro, Dr.","PLASCENCIA MORA Héctor, Dr."
""EALI03014,Ingeniería Económica,2,90 Créditos,M2,,,16:00-18:00,,,,A301,"DAMIAN RAMOS Enrique, M.F.","ZALETA AGUILAR Alejandro, Dr.","PLASCENCIA MORA Héctor, Dr."
"",INGLÉS 1A,4,,SA1,,12:00-14:00,,,12:00-14:00,,A101,"OSORNIO GARCÍA Karina, Lic.",,
"",INGLÉS 1A,4,,SA2,,08:00-10:00,,,08:00-10:00,,CAADI,"HERNÁNDEZ MENDEZ Sandra, Lic.",,
"",INGLÉS 1B,4,,SA1,12:00-14:00,,,12:00-14:00,,,CAADI,"CHÁVEZ GARCÍA SAUL, LIC",,
"",INGLÉS 2A,4,,SA1,08:00-10:00,,,08:00-10:00,,,A303,"GARCÍA FLORES Mayra Itzel, Lic.",,
"",INGLÉS 2A,4,,SA2,,08:00-10:00,,,08:00-10:00,,A105,"OSORNIO GARCÍA Karina, Lic.",,
"",INGLÉS 2B,4,,SA1,,14:00-16:00,,,14:00-16:00,,Aula Lab. Manuf.,"GALLARDO GARCÍA Ana Isabel, MATSOL",,
"",INGLÉS 3A,4,,SA1,,14:00-16:00,,,14:00-16:00,,A308,"OSORNIO GARCÍA Karina, Lic.",,
"",INGLÉS 3A,4,,SA2,14:00-16:00,,,14:00-16:00,,,Aula Lab. Manuf.,"CHÁVEZ GARCÍA SAUL, LIC",,
""ACLI10001,Inmersión en el Ambiente Laboral,0,200 Créditos,C1,,,,,,,,"TRUJILLO ROMERO Felipe de Jesús, Dr.","LIZÁRRAGA MORALES Rocío Alfonsina, Dra.","IBARRA MANZANO Mario Alberto, Dr."
""IILI06072,Instrumentación Digital,4,Sistemas de Medición,C1,,"12:00-14:00 BLabEle",,,12:00-14:00,,B101,"AVIÑA CERVANTES Juan Gabriel, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""SHLI01041,Integración a la Vida Universitaria,1,Ninguno,NI-C1,,,09:00-10:00,,,,A309,"ZÀRATE BANDA Ma. Magdalena, Dra.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""IILI02075,Laboratorio de Mediciones,2,Ninguno,C1,,,10:00-12:00,,,,BLabEle,"CANEDO ROMERO Gerardo Enrique, M. en I.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""NELI06010,Mecánica,4,Ninguno,NI-C1,,10:00-12:00,,,10:00-12:00,,B101,"BELMAN FLORES Juan Manuel, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""NELI04011,Métodos Numéricos,3,Cálculo Integral,C1,14:00-15:30,,,14:00-15:30,,,B101,"IBARRA MANZANO Mario Alberto, Dr.","LIZÁRRAGA MORALES Rocío Alfonsina, Dra.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""IILI06088,Microondas,4,Ninguno,C1,,16:00-18:00,,,16:00-18:00,,A105,"REYES AYONA José Roberto, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""IILI06089,Microprocesadores y Microcontroladores,4,Electrónica Digital,C1,12:00-14:00,,,"12:00-14:00 BLabEle",,,B101,"CERDA VILLAFAÑA Gustavo, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""NELI06013,Óptica y Acústica,4,Ninguno,C1,12:00-14:00,,,12:00-14:00,,,A302,"ANDRADE LUCIO José Amparo, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""IILI06093,Optoelectrónica,4,Ninguno,C1,08:00-10:00,,,08:00-10:00,,,A309,"ANDRADE LUCIO José Amparo, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""NELI06014,Probabilidad y Estadística,4,Cálculo Integral,C1,10:00-12:00,,,10:00-12:00,,,A302,"GARCÍA PÉREZ Arturo, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""IILI06097,Procesamiento Digital de Señales,4,Señales y Sistemas,C1,,16:00-18:00,,,16:00-18:00,,B101,"SEVERIANO CARRILLO Israel, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""NELI05015,Procesos Estocásticos,4,Ninguno,C1,,10:00-12:00,,,10:00-12:00,,A302,"GARCÍA PÉREZ Arturo, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""IILI06104,Programación en Ingeniería,4,Ninguno,C1,08:00-10:00,,,08:00-10:00,,,A105,"IBARRA MANZANO Mario Alberto, Dr.","LIZÁRRAGA MORALES Rocío Alfonsina, Dra.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""IILI06107,Programación Orientada a Objetos,4,"Programación en Ingeniería",S1,12:00-14:00,,,12:00-14:00,,,A310,"LEDESMA OROZCO Sergio Eduardo, Dr.","IBARRA MANZANO Mario Alberto, Dr.","GARCÍA CAPULÍN Carlos Hugo, Dr."
""EALI06037,Proyectos en Ingeniería,4,80 Créditos,C1,08:00-10:00,,,08:00-10:00,,,A302,"ZÀRATE BANDA Ma. Magdalena, Dra.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""NELI06016,Química Universitaria,4,Ninguno,NI-C1,,12:00-14:00,,,12:00-14:00,,A302,"ZAMORA GARCIA Ileana del Rocio, Dra.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""SHLI03062,Redacción de CV y Entrevista de Trabajo,2,Ninguno,C1,,,,,,12:00-14:00,A309,"ALMANZA OJEDA María Yanet, Lic.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""IILI06110,Redes de Computadoras I,4,"Sistemas de Administración de Datos",S1,,16:00-18:00,,,16:00-18:00,,A104,"TURRUBIATES GARCÍA Héctor, Ing.","IBARRA MANZANO Mario Alberto, Dr.","GARCÍA CAPULÍN Carlos Hugo, Dr."
""SHLI03063,Responsabilidad Social,2,Ninguno,NI-C1,,,12:00-14:00,,,,A105,"ZÀRATE BANDA Ma. Magdalena, Dra.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""SHLI03065,Seminario de Proyecto de Titulación,2,Ninguno,C1,,,10:00-12:00,,,,A303,"CANEDO ROMERO Gerardo Enrique, M. en I.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""SHLI03065,Seminario de Proyecto deTitulación,2,220 créditos,S1,,,12:00-14:00,,,,A303,"CANEDO ROMERO Gerardo Enrique, M. en I.","IBARRA MANZANO Mario Alberto, Dr.","GARCÍA CAPULÍN Carlos Hugo, Dr."
""IILI06115,Señales y Sistemas,4,90 Créditos,C1,,14:00-16:00,,,14:00-16:00,,A309,"SHMALIY Yuriy, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""IILI06123,Sistemas de la Comunicación,4,Ninguno,C1,,08:00-10:00,,,08:00-10:00,,A309,"VEGA CORONA Antonio, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""IILI06125,Sistemas Digitales,4,Electrónica Digital,C1,,10:00-12:00,,,10:00-12:00,,A309,"TRUJILLO ROMERO Felipe de Jesús, Dr.","LIZÁRRAGA MORALES Rocío Alfonsina, Dra.","IBARRA MANZANO Mario Alberto, Dr."
""IILI06126,Sistemas Electrónicos de Potencia,4,Circuitos Electrónicos,C1,"12:00-14:00 BLabEle",,,12:00-14:00,,,B101,"CASTRO SÁNCHEZ Rogelio, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""IILI06128,Sistemas Ópticos de Comunicación,4,Ninguno,C1,,12:00-14:00,,,12:00-14:00,,A309,"ESTUDILLO AYALA Julián Moisés, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
""NELI06017,Teoría Electromagnética,4,Ninguno,C1,,12:00-14:00,,,12:00-14:00,,A105,"ALVARADO MÉNDEZ Edgar, Dr.","IBARRA MANZANO Mario Alberto, Dr.","TRUJILLO ROMERO Felipe de Jesús, Dr."
